0.3125	0.9380	0.9840	0.9954	0.9970	0.9970	0.9990	0.9990	0.9999	0.9999
0.2345	0.6038	0.9040	0.9722	0.9979	0.9880	0.9900	0.9990	0.9999	0.9999
0.1093	0.4018	0.6800	0.9155	0.9796	0.9820	0.9860	0.9900	0.9920	0.9999
0.0622	0.2430	0.5150	0.7100	0.9200	0.9600	0.9750	0.9830	0.9860	0.9900
0.0399	0.1597	0.3527	0.5888	0.7320	0.8300	0.9000	0.9500	0.9700	0.9800
0.0277	0.1098	0.2455	0.4267	0.5764	0.7248	0.8300	0.9000	0.9500	0.9700
0.0204	0.0808	0.1811	0.3184	0.4592	0.6098	0.7374	0.8300	0.9000	0.9500
0.0156	0.0624	0.1392	0.2457	0.3711	0.5062	0.6355	0.7441	0.8300	0.9000
0.0123	0.0493	0.1102	0.1948	0.2994	0.4222	0.5444	0.6558	0.7553	0.8300
0.0100	0.0400	0.0900	0.1584	0.2450	0.3492	0.4655	0.5760	0.6723	0.7612
